title,price,discount_price,discount,resolution,screen_width,os,cpu,cpu_proc_speed,gpu,ram,storage,front_camera,rear_camera,battery,size,weight,brand,link
iPad (Gen 9) Wifi 256GB,12990000.0,11190000.0,14%,1620 x 2160 Pixels,"10.2""",iPadOS 15,Apple A13 Bionic,6 nhân,Apple GPU 4 nhân,3 GB,256 GB,"12 MP, HDR, Quay video Full HD, Tự động lấy nét (AF)","8 MP, FullHD 1080p@25fps, FullHD 1080p@30fps, HD 720p@30fps; Chạm lấy nét; Gắn thẻ địa lý; HDR; Nhận diện khuôn mặt; Toàn cảnh (Panorama); Tự động lấy nét (AF); Zoom kỹ thuật số",32.4 Wh (~ 8600 mAh),Dài 250.6 mm - Ngang 174.1 mm - Dày 7.5 mm,487 g,,https://viettelstore.vn/may-tinh-bang/ipad-gen-9-wifi-256gb-pid288699.html
iPad Air (Gen 5) WIFI 256GB,19990000.0,17990000.0,10%,,,,,,,8 GB,256 GB,,,,Dài 247.6 mm - Ngang 178.5 mm - Dày 6.1 mm,461 g,,https://viettelstore.vn/may-tinh-bang/ipad-air-gen-5-wifi-256gb-pid290751.html
Samsung Galaxy Tab S9 Ultra 5G 12/256GB,32990000.0,29990000.0,9%,1848 x 2960 Pixels (WQXGA+),14.6 inches - Tần số quét 120 Hz,"Android 13, One UI 5.1",Snapdragon 8 Gen 2 for Galaxy,"1 nhân 3.36 GHz, 4 nhân 2.8 GHz & 3 nhân 2 GHz",Adreno 740,12 GB,256 GB,2 Camera 12 MP; Trôi nhanh thời gian (Time Lapse); Làm đẹp; Góc siêu rộng; HDR; Quay video HD; Quay video Full HD; Quay video 4K; Bộ lọc màu; Xóa phông; Hẹn giờ chụp; Chụp ảnh chuyển động; Flash màn hình; Chụp một chạm,Chính 13 MP & Phụ 8 MP; Đèn Flash; Bộ lọc màu; Chuyên nghiệp (Pro); Xóa phông; Tua nhanh thời gian (Time‑lapse); Toàn cảnh (Panorama); Quét mã QR; HDR; Làm đẹp; Ánh sáng yếu (Chụp đêm); Góc siêu rộng; Zoom kỹ thuật số; Chụp ảnh chuyển động; Chụp một chạm; Chụp hẹn giờ; Video chuyên nghiệp; Tự động lấy nét,11200 mAh; 45 W; Sạc pin nhanh; Tiết kiệm pin,Dài 326.4 mm - Ngang 208.6 mm - Dày 5.5 mm,737 g,,https://viettelstore.vn/may-tinh-bang/samsung-galaxy-tab-s9-ultra-5g-12-256gb-pid315340.html
Samsung Galaxy Tab S9 5G 12/256GB,24990000.0,22990000.0,8%,1600 x 2560 Pixels (WQXGA),11 inches - Tần số quét 120 Hz,"Android 13, One UI 5.1",Snapdragon 8 Gen 2 for Galaxy,"1 nhân 3.36 GHz, 4 nhân 2.8 GHz & 3 nhân 2 GHz",Adreno 740,12 GB,256 GB,12 MP; Trôi nhanh thời gian (Time Lapse); Làm đẹp; Góc siêu rộng; HDR; Quay video HD; Quay video Full HD; Quay video 4K; Bộ lọc màu; Xóa phông; Hẹn giờ chụp; Chụp ảnh chuyển động; Chụp một chạm,13 MP; Đèn Flash; Bộ lọc màu; Chuyên nghiệp (Pro); Xóa phông; Tua nhanh thời gian (Time‑lapse); Toàn cảnh (Panorama); Quét mã QR; HDR; Đèn Flash; Làm đẹp; Ánh sáng yếu (Chụp đêm); Góc siêu rộng; Zoom kỹ thuật số; Chụp ảnh chuyển động; Chụp một chạm; Chụp hẹn giờ; Video chuyên nghiệp; Tự động lấy nét,8400 mAh; 45 W; Sạc pin nhanh; Tiết kiệm pin,Dài 254.3 mm - Ngang 165.8 mm - Dày 5.9 mm,500 g,,https://viettelstore.vn/may-tinh-bang/samsung-galaxy-tab-s9-5g-12-256gb-pid316009.html
Samsung Galaxy Tab S9 5G 8/128GB,22990000.0,20990000.0,9%,1600 x 2560 Pixels (WQXGA),11 inches - Tần số quét 120 Hz,"Android 13, One UI 5.1",Snapdragon 8 Gen 2 for Galaxy,"1 nhân 3.36 GHz, 4 nhân 2.8 GHz & 3 nhân 2 GHz",Adreno 740,8 GB,128 GB,12 MP; Trôi nhanh thời gian (Time Lapse); Làm đẹp; Góc siêu rộng; HDR; Quay video HD; Quay video Full HD; Quay video 4K; Bộ lọc màu; Xóa phông; Hẹn giờ chụp; Chụp ảnh chuyển động; Chụp một chạm,13 MP; Đèn Flash; Bộ lọc màu; Chuyên nghiệp (Pro); Xóa phông; Tua nhanh thời gian (Time‑lapse); Toàn cảnh (Panorama); Quét mã QR; HDR; Đèn Flash; Làm đẹp; Ánh sáng yếu (Chụp đêm); Góc siêu rộng; Zoom kỹ thuật số; Chụp ảnh chuyển động; Chụp một chạm; Chụp hẹn giờ; Video chuyên nghiệp; Tự động lấy nét,8400 mAh; 45 W; Sạc pin nhanh; Tiết kiệm pin,Dài 254.3 mm - Ngang 165.8 mm - Dày 5.9 mm,500 g,,https://viettelstore.vn/may-tinh-bang/samsung-galaxy-tab-s9-5g-8-128gb-pid316008.html
Samsung Galaxy Tab S9 Wifi 8/128GB,19990000.0,17990000.0,10%,1600 x 2560 Pixels (WQXGA),11 inches - Tần số quét 120 Hz,"Android 13, One UI 5.1",Snapdragon 8 Gen 2 for Galaxy,"1 nhân 3.36 GHz, 4 nhân 2.8 GHz & 3 nhân 2 GHz",Adreno 740,8 GB,128 GB,12 MP; Trôi nhanh thời gian (Time Lapse); Làm đẹp; Góc siêu rộng; HDR; Quay video HD; Quay video Full HD; Quay video 4K; Bộ lọc màu; Xóa phông; Hẹn giờ chụp; Chụp ảnh chuyển động; Chụp một chạm,13 MP; Đèn Flash; Bộ lọc màu; Chuyên nghiệp (Pro); Xóa phông; Tua nhanh thời gian (Time‑lapse); Toàn cảnh (Panorama); Quét mã QR; HDR; Đèn Flash; Làm đẹp; Ánh sáng yếu (Chụp đêm); Góc siêu rộng; Zoom kỹ thuật số; Chụp ảnh chuyển động; Chụp một chạm; Chụp hẹn giờ; Video chuyên nghiệp; Tự động lấy nét,8400 mAh; 45 W; Sạc pin nhanh; Tiết kiệm pin,Dài 254.3 mm - Ngang 165.8 mm - Dày 5.9 mm,498 g,,https://viettelstore.vn/may-tinh-bang/samsung-galaxy-tab-s9-wifi-8-128gb-pid315338.html
Samsung Galaxy Tab S9 Plus 5G 12/512GB,30990000.0,28990000.0,6%,1752 x 2800 Pixels (WQXGA+),12.4 inches - Tần số quét 120 Hz,"Android 13, One UI 5.1",Snapdragon 8 Gen 2 for Galaxy,"1 nhân 3.36 GHz, 4 nhân 2.8 GHz & 3 nhân 2 GHz",Adreno 740,12 GB,512 GB,12 MP; Trôi nhanh thời gian (Time Lapse); Làm đẹp; Góc siêu rộng; HDR; Quay video Full HD; Quay video 4K; Góc rộng; Bộ lọc màu; Xóa phông; Hẹn giờ chụp; Chụp ảnh chuyển động; Flash màn hình,Chính 13 MP & Phụ 8 MP; Đèn Flash; Bộ lọc màu; Chuyên nghiệp (Pro); Xóa phông; Tua nhanh thời gian (Time‑lapse); Toàn cảnh (Panorama); Quét mã QR; HDR; Làm đẹp; Ánh sáng yếu (Chụp đêm); Góc siêu rộng; Zoom kỹ thuật số; Chụp ảnh chuyển động; Chụp một chạm; Chụp hẹn giờ; Video chuyên nghiệp; Tự động lấy nét,10090 mAh; 45 W; Sạc pin nhanh; Tiết kiệm pin,Dài 285.4 mm - Ngang 185.4 mm - Dày 5.7 mm,586 g,,https://viettelstore.vn/may-tinh-bang/samsung-galaxy-tab-s9-plus-5g-12-512gb-pid316022.html
Samsung Galaxy Tab S9 Plus 5G 12/256GB,28990000.0,26990000.0,7%,1752 x 2800 Pixels (WQXGA+),12.4 inches - Tần số quét 120 Hz,"Android 13, One UI 5.1",Snapdragon 8 Gen 2 for Galaxy,"1 nhân 3.36 GHz, 4 nhân 2.8 GHz & 3 nhân 2 GHz",Adreno 740,12 GB,256 GB,12 MP; Trôi nhanh thời gian (Time Lapse); Làm đẹp; Góc siêu rộng; HDR; Quay video Full HD; Quay video 4K; Góc rộng; Bộ lọc màu; Xóa phông; Hẹn giờ chụp; Chụp ảnh chuyển động; Flash màn hình,Chính 13 MP & Phụ 8 MP; Đèn Flash; Bộ lọc màu; Chuyên nghiệp (Pro); Xóa phông; Tua nhanh thời gian (Time‑lapse); Toàn cảnh (Panorama); Quét mã QR; HDR; Làm đẹp; Ánh sáng yếu (Chụp đêm); Góc siêu rộng; Zoom kỹ thuật số; Chụp ảnh chuyển động; Chụp một chạm; Chụp hẹn giờ; Video chuyên nghiệp; Tự động lấy nét,10090 mAh; 45 W; Sạc pin nhanh; Tiết kiệm pin,Dài 285.4 mm - Ngang 185.4 mm - Dày 5.7 mm,586 g,,https://viettelstore.vn/may-tinh-bang/samsung-galaxy-tab-s9-plus-5g-12-256gb-pid316023.html
Samsung Galaxy Tab S9 Plus Wifi 12/512GB,27990000.0,25990000.0,7%,1752 x 2800 Pixels (WQXGA+),12.4 inches - Tần số quét 120 Hz,"Android 13, One UI 5.1",Snapdragon 8 Gen 2 for Galaxy,"1 nhân 3.36 GHz, 4 nhân 2.8 GHz & 3 nhân 2 GHz",Adreno 740,12 GB,512 GB,12 MP; Trôi nhanh thời gian (Time Lapse); Làm đẹp; Góc siêu rộng; HDR; Quay video Full HD; Quay video 4K; Góc rộng; Bộ lọc màu; Xóa phông; Hẹn giờ chụp; Chụp ảnh chuyển động; Flash màn hình,Chính 13 MP & Phụ 8 MP; Đèn Flash; Bộ lọc màu; Chuyên nghiệp (Pro); Xóa phông; Tua nhanh thời gian (Time‑lapse); Toàn cảnh (Panorama); Quét mã QR; HDR; Làm đẹp; Ánh sáng yếu (Chụp đêm); Góc siêu rộng; Zoom kỹ thuật số; Chụp ảnh chuyển động; Chụp một chạm; Chụp hẹn giờ; Video chuyên nghiệp; Tự động lấy nét,10090 mAh; 45 W; Sạc pin nhanh; Tiết kiệm pin,Dài 285.4 mm - Ngang 185.4 mm - Dày 5.7 mm,581 g,,https://viettelstore.vn/may-tinh-bang/samsung-galaxy-tab-s9-plus-wifi-12-512gb-pid316025.html
Samsung Galaxy Tab S9 Plus Wifi 12/256GB,25990000.0,23990000.0,8%,1752 x 2800 Pixels (WQXGA+),12.4 inches - Tần số quét 120 Hz,"Android 13, One UI 5.1",Snapdragon 8 Gen 2 for Galaxy,"1 nhân 3.36 GHz, 4 nhân 2.8 GHz & 3 nhân 2 GHz",Adreno 740,12 GB,256 GB,12 MP; Trôi nhanh thời gian (Time Lapse); Làm đẹp; Góc siêu rộng; HDR; Quay video Full HD; Quay video 4K; Góc rộng; Bộ lọc màu; Xóa phông; Hẹn giờ chụp; Chụp ảnh chuyển động; Flash màn hình,Chính 13 MP & Phụ 8 MP; Đèn Flash; Bộ lọc màu; Chuyên nghiệp (Pro); Xóa phông; Tua nhanh thời gian (Time‑lapse); Toàn cảnh (Panorama); Quét mã QR; HDR; Làm đẹp; Ánh sáng yếu (Chụp đêm); Góc siêu rộng; Zoom kỹ thuật số; Chụp ảnh chuyển động; Chụp một chạm; Chụp hẹn giờ; Video chuyên nghiệp; Tự động lấy nét,10090 mAh; 45 W; Sạc pin nhanh; Tiết kiệm pin,Dài 285.4 mm - Ngang 185.4 mm - Dày 5.7 mm,581 g,,https://viettelstore.vn/may-tinh-bang/samsung-galaxy-tab-s9-plus-wifi-12-256gb-pid316024.html
